target,unified_ID,Annotated_ID,cancer_related,Paper_cancer,validation,Paper_validation,group,LN18.lfc,LN229.lfc,A549.lfc,NCIH460.lfc,KP4.lfc,MIAPACA2.lfc
human_lncrna_fused_58469,human_lncrna_fused_58469,ENSG00000261468,NO,,,,KP4,-0.78152,0.04569000000000001,-0.080882,0.27089,-2.59815,-0.17248
human_lncrna_fused_59161,human_lncrna_fused_59161,HSALNG0026257,NO,,,,KP4,-0.17799500000000001,-0.37988,0.044160000000000005,-0.08799000000000001,-1.33395,0.11898
human_lncrna_fused_59455,human_lncrna_fused_59455,Lnc-SUCLG2-1,NO,,,,NCIH460,-0.858535,0.28912,-0.180806,-1.35275,0.361645,-0.06563000000000002
human_lncrna_fused_59843,human_lncrna_fused_59843,HSALNG0027144,NO,,,,NCIH460,0.35488600000000003,0.5356350000000001,0.24409000000000003,-6.1171,0.14241000000000004,0.67552
human_lncrna_fused_60744,human_lncrna_fused_60744,MYLK-AS2,NO,,,,Common essential,-0.2566045,-0.15341,-0.836255,-0.604495,-1.167085,-1.4662000000000002
human_lncrna_fused_61606,human_lncrna_fused_61606,lnc-AADACL2-1,NO,,,,Common essential,-2.5141,-0.731772,-1.6631999999999998,-1.0445,-3.7435,-0.18509
human_lncrna_fused_61630,human_lncrna_fused_61630,lnc-IGSF10-8,NO,,,,LN229,0.04283000000000001,-2.19745,-0.024992999999999994,0.14396499999999998,-0.97418,-0.32872500000000004
human_lncrna_fused_62148,human_lncrna_fused_62148,Lnc-PLD1-2,NO,,,,Common essential,-1.4963,-1.7093500000000001,-1.1457,-0.30201,0.20054999999999998,-0.77605
human_lncrna_fused_62893,human_lncrna_fused_62893,ENSG00000223711,NO,,,,MIAPACA2,-0.2809265,0.03125,0.050622,-0.46833,-0.11269999999999991,-1.47025
human_lncrna_fused_63118,human_lncrna_fused_63118,ENSG00000281016,NO,,,,LN18,-2.6649,-0.6895975,-0.7506165,-0.32909,-0.6747299999999999,-0.7529
human_lncrna_fused_63131,human_lncrna_fused_63131,HSALNG0032157,NO,,,,NCIH460,-0.19267,-3.0250000000000415e-4,-0.14917999999999998,-1.79515,-0.189999,0.12304500000000002
human_lncrna_fused_64603,human_lncrna_fused_64603,HSALNG0034171,NO,,,,LN18,-1.612,-0.39233500000000004,-0.17336000000000001,-0.03020500000000001,-0.7658,-0.22779000000000002
human_lncrna_fused_65970,human_lncrna_fused_65970,ENSG00000250740,NO,,,,Common essential,-1.099025,-0.7818849999999999,-1.0041,-1.2850000000000001,-1.30578,-0.53575
human_lncrna_fused_6646,human_lncrna_fused_6646,lncRNA-ZNF281,YES,https://pubmed.ncbi.nlm.nih.gov/32194679/,YES,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8131163/,KP4,0.46888,0.09095499999999995,0.21744,-0.425125,-2.7342500000000003,0.45143
