Functionality	H3F3A	H3K20me1	H3K23ac	H3K27ac	H3K36me3	H3K4me1	H3K4me3	H3K79me1	 H3K79me2	H3K9ac	H3K9me3	H4K4me2
No	0	0	0	5.96731	0	0	0	0	0	0	0	0
No	0	0	0	481.853	19.5388	674.529	70.4118	0	0	3.39567	0	215.374
No	0	0	0	481.853	19.5388	674.529	70.4118	0	0	3.39567	0	215.374
No	0	0	0	481.853	19.5388	674.529	70.4118	0	0	3.39567	0	215.374
Yes	1.30285	0	0	11555.3	0	14.4744	32517.3	0	0	1718.15	0	1664.38
Yes	1.30285	0	0	11555.3	0	14.4744	32517.3	0	0	1718.15	0	1664.38
Yes	1.30285	0	0	11555.3	0	14.4744	32517.3	0	0	1718.15	0	1664.38
No	139.446	0	0	12476.6	10.5161	1966.58	37746	0	0	2531.87	15.0644	2897.44
No	139.446	0	0	12476.6	10.5161	1966.58	37746	0	0	2531.87	15.0644	2897.44
No	139.446	0	0	12476.6	10.5161	1966.58	37746	0	0	2531.87	15.0644	2897.44
Yes	0.269243	59.9814	0	75.5028	3303.52	3.65754	0	7.77742	20.672	0	0	0
No	0	0	0	0	0	0	0	0	0	0	13.3234	1.54107
Yes	66.7898	410.757	0.164383	12186.9	3930.04	1266.48	24807.5	8.59936	302.856	2209.98	36.3343	1036.94
No	0	0	0	0	0	1.2005	0	0	0	0	5.34506	0
No	0	0	0	15.4004	180.471	7.47204	5.36596	0	0	0	1075.57	0
No	0	0	0	15.4004	180.471	7.47204	5.36596	0	0	0	1075.57	0
No	0	0	0	124.474	0	144.295	23.3494	0	0	0	42.307	0
No	0	0	0	124.474	0	144.295	23.3494	0	0	0	42.307	0
No	0	0	0	124.474	0	144.295	23.3494	0	0	0	42.307	0
No	0	0	0	40.8705	308.181	0	0	0	0	0	98.8074	0
No	0	0	0	60.6792	0	12.8325	0	0	0	0	52.936	0
No	0	0	0	60.6792	0	12.8325	0	0	0	0	52.936	0
Yes	0	54.6474	0	50.1974	3732.34	56.1921	16.2166	0.634463	160.877	0	70.4943	0
Yes	0	54.6474	0	50.1974	3732.34	56.1921	16.2166	0.634463	160.877	0	70.4943	0
Yes	5.26629	110.284	0	50.0526	2371.68	126.047	0	0	7.03169	1.53683	100.913	0
No	0	0	0	2.32542	0	4.13441	0	0	0	0	20.8085	5.86817
No	0	0	0	0	0	17.7043	0	0	0	0	5.65718	0
No	0	0	0	0	0	17.7043	0	0	0	0	5.65718	0
Yes	32.392	132.409	0	118.178	3948.75	18.399	3.4998	10.3815	228.409	0	0	0
No	36.8701	0	0	355.598	11.4189	140.289	489.035	0	3.17531	6.17631	0	0
No	0	0	0	60.5393	0	47.0876	2.99787	0	0	5.76629	0	18.1277
No	0	0	0	19.641	0	12.0667	0	0	0	0	38.9684	0
No	0	0	0	19.641	0	12.0667	0	0	0	0	38.9684	0
No	0	0	0	0	0	0	0	0	0	0	5.39567	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	26.0489	0	5.73466	20661.4	1260.94	6538.7	50570.2	0	0	1539.59	11.9163	2455.21
No	26.0489	0	5.73466	20661.4	1260.94	6538.7	50570.2	0	0	1539.59	11.9163	2455.21
Yes	38.1999	2.7555	0	27196.9	2829.37	1782.61	57374.1	0	0	2850.42	380.603	2366.62
Yes	38.1999	2.7555	0	27196.9	2829.37	1782.61	57374.1	0	0	2850.42	380.603	2366.62
No	0	0	0	5848.2	1238.72	1416.78	6550.56	0	0	195.915	0	1403.64
No	0	0	0	5848.2	1238.72	1416.78	6550.56	0	0	195.915	0	1403.64
No	0	0	0	0	0	4.33568	0	0	0	0	0	0
No	0	0	0	0	0	4.33568	0	0	0	0	0	0
No	3.35396	0	0	260.149	7.28456	332.38	4.53093	0	0	3.83647	0	237.346
No	0	0	0	336.01	0	13.7084	16.0238	0	0	0	0	58.5678
No	0	0	0	336.01	0	13.7084	16.0238	0	0	0	0	58.5678
No	3.3715	0	0	240.983	0	155.49	7.26608	0	0	3.15942	0	39.1909
No	0	0	0	252.281	4.61932	72.4649	3.41267	0	0	0	74.5053	0.53709
No	37.6253	0	0	7051.19	38.0286	2335.64	328.512	0	0	249.707	38.1098	362.88
No	37.6253	0	0	7051.19	38.0286	2335.64	328.512	0	0	249.707	38.1098	362.88
No	37.6253	0	0	7051.19	38.0286	2335.64	328.512	0	0	249.707	38.1098	362.88
No	0	0	0	2690.63	1514.36	1730.94	237.21	0	0	0	1030.15	0
No	0	0	0	2690.63	1514.36	1730.94	237.21	0	0	0	1030.15	0
No	0	0	0	1358.35	0	282.845	18.1868	0	0	23.8416	3.24415	109.801
Yes	13.0921	0	0	746.345	0	233.61	3244.11	0	0	224.222	12.1823	438.041
Yes	13.0921	0	0	746.345	0	233.61	3244.11	0	0	224.222	12.1823	438.041
Yes	13.0921	0	0	746.345	0	233.61	3244.11	0	0	224.222	12.1823	438.041
No	0	0	0	0	23.4278	67.9299	0	0	0	0	216.461	0
No	0	0	0	0	23.4278	67.9299	0	0	0	0	216.461	0
No	0	0	0	0	23.4278	67.9299	0	0	0	0	216.461	0
No	0	0	0	25.5787	0	0	0	0	0	0	64.4004	0
Yes	4.84139	277.279	0	221.7	2593.46	498.527	370.74	0	653.188	25.9154	0	72.9106
No	0	0	0	5.24649	3.76972	0	0	0	0	0	0	0
No	0	0	0	0	0	13.346	0	0	0	0	0	0
No	0	0	0	0	0	13.346	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	18.5708
No	0	0	0	0	0	0	0	0	0	0	0	18.5708
No	0	0	0	0	0	0	0	0	0	0	0	18.5708
No	0	0	0	78.1619	0	787.968	57.0024	0	0	0	17.8431	29.1127
No	0	0	0	478.564	81.7222	1384.5	242.417	0	0	0	776.17	0
No	0	0	0	478.564	81.7222	1384.5	242.417	0	0	0	776.17	0
No	0	0	0	0	0	0	0	0	0	0	1.18045	0
No	0	0	0	62.7265	16.6227	18.9655	9.65497	0	0	0	343.175	32.1701
No	0	0	0	0.395811	7.83606	0	0	0	0	0	0	0
No	0	0	0	0.395811	7.83606	0	0	0	0	0	0	0
Yes	2.73004	4.43113	6.98441	1628.65	201.519	1887.92	25351.1	0	0	1265.97	201.239	1877.89
Yes	2.73004	4.43113	6.98441	1628.65	201.519	1887.92	25351.1	0	0	1265.97	201.239	1877.89
Yes	0	1.0291	0	5145.05	416.558	707.627	50873	0	0	1967.19	378.038	1902.38
Yes	0	1.0291	0	5145.05	416.558	707.627	50873	0	0	1967.19	378.038	1902.38
Yes	0	1.0291	0	5145.05	416.558	707.627	50873	0	0	1967.19	378.038	1902.38
Yes	0	4.10583	0	0	0	18.8156	99.4182	0	0	0	121.923	45.1188
No	0	0	0	5.66443	25.388	0	16.4539	0	0	0	261.695	0
No	0	0	0	5.66443	25.388	0	16.4539	0	0	0	261.695	0
Yes	0	0	0	0	0	118.936	7.08872	0	0	7.51401	21.7701	61.79
Yes	0	0	0	0	0	118.936	7.08872	0	0	7.51401	21.7701	61.79
No	0	0	0	10.0702	0	159.964	6.72454	0	0	0	0	63.0682
No	0	0	0	10.0702	0	159.964	6.72454	0	0	0	0	63.0682
No	0	0	0	25.4432	0	788.689	52.6349	0	0	0	0	2.22635
No	0	0	0	25.4432	0	788.689	52.6349	0	0	0	0	2.22635
Yes	6.95694	12.2881	0	1382.53	826.551	229.302	593.101	0	0	0	3.18822	75.9863
Yes	70.275	0	0	15992.8	1550.57	3114.89	41456.6	0	0	1383.22	36.3277	1617.17
Yes	70.275	0	0	15992.8	1550.57	3114.89	41456.6	0	0	1383.22	36.3277	1617.17
Yes	11.1583	0	0	8621.99	1356.2	1142.83	19304.3	3.38509	0	673.74	142.025	718.877
Yes	3.7439	0	0	4731.81	918.049	1618.08	19660.9	0	0	292.865	264.971	571.989
No	0	0	0	0	6.58133	0	0	0	0	0	2.5947	0
No	0	0	0	0	6.58133	0	0	0	0	0	2.5947	0
No	0	0	0	68.8774	27.9952	13.2895	0	0	0	0	75.3058	0
No	0	0	0	68.8774	27.9952	13.2895	0	0	0	0	75.3058	0
No	0	0	0	68.8774	27.9952	13.2895	0	0	0	0	75.3058	0
No	0	0	0	6.12537	0	28.6711	0	0	0	0	0	3.68028
No	0	0	0	0	8.30433	0	0	0	8.99904	0	347.342	0
No	0	0	0	0	8.30433	0	0	0	8.99904	0	347.342	0
No	33.122	0	0	359.798	0	165.641	0	0	0	28.8864	0	25.9154
No	33.122	0	0	359.798	0	165.641	0	0	0	28.8864	0	25.9154
No	19.9399	2.9636	0	729.029	18.3597	496.508	21.2508	0	0	48.504	7.6735	36.2786
No	0	3.62427	0	0	1.16713	4.19719	0	0	0	0	0	0
Yes	0	0	0	420.402	0	115.135	0	0	4.65577	0	16.1009	0
No	0	0	0	7.74768	115.931	10.5708	25.3441	0	0	0	303.213	0
No	0	0	0	7.74768	115.931	10.5708	25.3441	0	0	0	303.213	0
No	0	0	0	7.74768	115.931	10.5708	25.3441	0	0	0	303.213	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	60.1002	10.2114	75.2992	0	0	0	0	398.527	0
No	0	0	0	60.1002	10.2114	75.2992	0	0	0	0	398.527	0
No	0	0	0	60.1002	10.2114	75.2992	0	0	0	0	398.527	0
Yes	56.3541	378.849	1.75656	5195.16	3453.73	2727.72	22833.6	6.87331	536.99	2296.12	0	1321.46
Yes	0	0	0	0	707.426	8.70324	0	0	0	0	3.37539	0
Yes	0	0	0	0	707.426	8.70324	0	0	0	0	3.37539	0
No	0	0	0	4.27322	8.50455	0	0	0	0	0	122.022	0
No	0	0	0	13.7945	0	75.7319	0	0	0	0	0.562908	0
Yes	0	0	0	86.0902	16.6118	334.685	1683.61	0	0	20.8176	14.0562	120.06
No	9.0175	0	0	23.4126	0	12.6229	337.831	0	0	0	0	9.98346
No	9.0175	0	0	23.4126	0	12.6229	337.831	0	0	0	0	9.98346
No	0	0	0	4.74124	2.93552	0	0	0	0	0	7.83806	0
No	0	1.30573	0	6.77323	0	0	6.16252	0	0	0	0	0
No	0	1.30573	0	6.77323	0	0	6.16252	0	0	0	0	0
Yes	10.3605	9.36878	0	0	7.42054	118.636	688.364	0	0	13.7587	19.0193	308.072
Yes	10.3605	9.36878	0	0	7.42054	118.636	688.364	0	0	13.7587	19.0193	308.072
No	0	0	0	0	0	37.4415	21.2502	0	0	0	80.3507	349.966
No	0	0	0	0	0	37.4415	21.2502	0	0	0	80.3507	349.966
No	0	0	0	3.43376	24.5301	2.11449	0	0	0	0	316.016	0
No	0	0	0	0	0	4.50582	0	0	0	0	0	144.05
No	0	0	0	0	0	4.50582	0	0	0	0	0	144.05
No	0	0	0	110.396	0	29.8652	7.05542	0	3.46762	5.56282	0	17.0694
No	0	0	0	110.396	0	29.8652	7.05542	0	3.46762	5.56282	0	17.0694
No	0	0	0	0	0	0	0	0	0	0	25.6326	0
No	0	0	0	0	0	0	0	0	0.0505782	0	0	0
No	0	0	0	0	0	0	0	0	12.927	0	0	0
No	0	0	0	0	0	0	0	0	12.927	0	0	0
No	0	0	0	0	0	0	0	0	12.927	0	0	0
No	0	0	0	0	0	0	0	0	0	0	47.8183	0
No	0	0	0	12.1305	0	0	0	0	0	0	32.8264	0
No	0	0	0	12.1305	0	0	0	0	0	0	32.8264	0
No	14.3541	19.404	0	430.242	188.394	1185.58	349.76	0	7.8568	0	2.7693	366.92
Yes	0	11.7181	0	1601.35	689.051	1293.44	1140.22	0	7.8568	15.2592	37.8089	371.068
No	0	0	0	171.96	248.842	404.773	381.199	0	0	67.8005	0	818.425
No	0	0	0	171.96	248.842	404.773	381.199	0	0	67.8005	0	818.425
No	0	0	0	171.96	248.842	404.773	381.199	0	0	67.8005	0	818.425
No	0	0	0	21.3583	2.4521	42.3267	16.9286	0	0	15.2592	0	162.506
Yes	0	0	0	66.3372	67.0735	135.358	142.545	0	0	0	8.58453	126.628
Yes	0	0	0	66.3372	67.0735	135.358	142.545	0	0	0	8.58453	126.628
Yes	0	0	0	66.3372	67.0735	135.358	142.545	0	0	0	8.58453	126.628
No	0	1.62663	0	69.0742	0	6.20442	0	0	0	0	0	0
No	0	1.62663	0	69.0742	0	6.20442	0	0	0	0	0	0
Yes	2.04292	3.77721	0	67.6495	0	109.22	4.83792	0	0	0	8.60475	33.5837
Yes	2.04292	3.77721	0	67.6495	0	109.22	4.83792	0	0	0	8.60475	33.5837
No	27.1744	27.1648	0	69.5557	0	343.365	54.6199	0	0	15.0099	0	212.869
No	27.1744	27.1648	0	69.5557	0	343.365	54.6199	0	0	15.0099	0	212.869
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	3.47854	0	0	965.308	110.452	220.459	58.2013	0	24.1675	0	450.706	1.8759
No	0	0	0	2998.12	470.983	1098.05	230.689	0	44.3431	216.441	1265.49	211.116
No	0	0	0	2998.12	470.983	1098.05	230.689	0	44.3431	216.441	1265.49	211.116
No	10.8972	43.9776	0	7102.49	1089.36	2145.22	30019.6	1.73731	0.850159	1557.27	34.0489	1514.68
No	5.58324	7.46138	12.8363	20925	2906.34	1512.54	61279.8	8.80174	2.6376	4093.33	186.94	3065.97
No	5.58324	7.46138	12.8363	20925	2906.34	1512.54	61279.8	8.80174	2.6376	4093.33	186.94	3065.97
Yes	0.323977	0	0	11014.9	1601.14	1117.23	30693.1	0	2.15505	1771.86	261.556	1370.95
Yes	17.4579	0	0	17067.7	2960.85	2507.4	55408.2	0	0	1685.38	352.619	2515.32
Yes	17.4579	0	0	17067.7	2960.85	2507.4	55408.2	0	0	1685.38	352.619	2515.32
No	14.46	0	3.10707	8585.21	1411.15	1058.6	29383.7	0	0	1451.06	38.9862	1452.77
No	0	11.3139	0	10404.4	1803.25	324.623	54481.5	0	0	1840.33	0	2552.68
No	0	11.3139	0	10404.4	1803.25	324.623	54481.5	0	0	1840.33	0	2552.68
Yes	9.72843	0	0	16.2152	0	156.614	307.077	0	0	7.42811	8.69487	40.0334
Yes	14.5482	0	0	17207.4	369.667	3050.85	44730.1	0	0	2246.96	34.9145	1883.04
Yes	14.5482	0	0	17207.4	369.667	3050.85	44730.1	0	0	2246.96	34.9145	1883.04
No	0	0	0	0	0	31.6878	0	0	0	0	79.3056	97.4078
No	0	0	0	0	0	31.6878	0	0	0	0	79.3056	97.4078
No	0	0	0	0	0	31.6878	0	0	0	0	79.3056	97.4078
No	0	0	0	0	0	31.6878	0	0	0	0	79.3056	97.4078
No	30.0036	0	0	307.638	0	361.896	193.609	0	15.9918	13.5433	0	158.899
No	30.0036	0	0	307.638	0	361.896	193.609	0	15.9918	13.5433	0	158.899
No	30.0036	0	0	307.638	0	361.896	193.609	0	15.9918	13.5433	0	158.899
No	30.0036	0	0	307.638	0	361.896	193.609	0	15.9918	13.5433	0	158.899
Yes	78.6779	0	0	96045.3	2732.09	1467.56	183995	0	10.5422	10786	467.165	4823.13
Yes	78.6779	0	0	96045.3	2732.09	1467.56	183995	0	10.5422	10786	467.165	4823.13
Yes	78.6779	0	0	96045.3	2732.09	1467.56	183995	0	10.5422	10786	467.165	4823.13
Yes	78.6779	0	0	96045.3	2732.09	1467.56	183995	0	10.5422	10786	467.165	4823.13
No	89.1056	0	27.8024	104840	3188.68	2219.19	195027	0.628231	314.125	13895.6	91.4533	4658.8
No	89.1056	0	27.8024	104840	3188.68	2219.19	195027	0.628231	314.125	13895.6	91.4533	4658.8
No	89.1056	0	27.8024	104840	3188.68	2219.19	195027	0.628231	314.125	13895.6	91.4533	4658.8
No	89.1056	0	27.8024	104840	3188.68	2219.19	195027	0.628231	314.125	13895.6	91.4533	4658.8
Yes	23.9715	36.8831	0	977.832	7177.67	1079.88	31.4978	0	227.765	11.3859	504.767	124.028
Yes	23.9715	36.8831	0	977.832	7177.67	1079.88	31.4978	0	227.765	11.3859	504.767	124.028
Yes	23.9715	36.8831	0	977.832	7177.67	1079.88	31.4978	0	227.765	11.3859	504.767	124.028
No	22.7657	0	0	526.678	24.2451	619.61	4797.38	0	0	0	12.2244	21.2478
No	22.7657	0	0	526.678	24.2451	619.61	4797.38	0	0	0	12.2244	21.2478
No	22.7657	0	0	526.678	24.2451	619.61	4797.38	0	0	0	12.2244	21.2478
No	0	0	0	14.9099	0	166.282	11.7749	0	0	0	0	0
No	0	0	0	394.153	0	1115.99	72.1092	0	13.831	0	0	84.2333
No	0	0	0	394.153	0	1115.99	72.1092	0	13.831	0	0	84.2333
No	0	0	0	394.153	0	1115.99	72.1092	0	13.831	0	0	84.2333
No	0	0	0	394.153	0	1115.99	72.1092	0	13.831	0	0	84.2333
No	0	0	0	15.8717	0	9.22155	0	0	0	3.63496	0	0
No	42.8603	158.787	0	631.422	2610.35	310.651	347.799	0	64.6851	6.11986	0	14.6502
Yes	44.5465	231.111	0	1529.88	3341.73	1624.1	5643.76	4.97167	293.998	360.721	0	727.783
No	0	0	5.10835	17.8138	0	25.0828	4.04672	0	0	0	18.4711	3.11101
Yes	0	0	0	46.1134	0	403.122	89.2909	0	0	1.93546	24.8357	200.728
Yes	0	473.936	9.58752	5565.81	532.787	3809.18	623.959	25.001	879.097	287.249	3.66594	700.415
Yes	0	473.936	9.58752	5565.81	532.787	3809.18	623.959	25.001	879.097	287.249	3.66594	700.415
No	0	0	0	478.773	8.08993	790.775	2164.35	0	0	17.6905	74.7087	244.453
No	0	0	0	0	0	0	0	0	5.1052	0	0	0
No	0	0	0	0	0	0	0	0	5.1052	0	0	0
No	0	0	0	1.94778	0	8.44948	0	0	4.40122	0	0	0
No	0	0	0	1.94778	0	8.44948	0	0	4.40122	0	0	0
Yes	0	0	0	0	0	6.09284	0	0	4.65086	0	0	0
Yes	0	0	0	0	0	6.09284	0	0	4.65086	0	0	0
No	0	21.9368	0	0.95296	0	0	0	0	6.16178	0	0	0
No	0	21.9368	0	0.95296	0	0	0	0	6.16178	0	0	0
No	0	0	0	0	0	2.70861	0	0	0	0	0	0
No	0	0	0	0	0	2.70861	0	0	0	0	0	0
No	0	0	0	0	54.1436	0	0	0	0	0	1593.24	0
No	0	0	0	85.0493	0	71.1636	0	0	0	0	108.427	0
No	0	0	0	85.0493	0	71.1636	0	0	0	0	108.427	0
No	0	0	0	85.0493	0	71.1636	0	0	0	0	108.427	0
No	2.20294	0	0	46.1306	3.44915	138.804	16.3968	0	0	10.1868	0	13.0786
No	0	0	0	121.498	0.304201	489.007	34.5577	0	0	20.3736	4.7633	41.8037
No	0	0	0	121.498	0.304201	489.007	34.5577	0	0	20.3736	4.7633	41.8037
No	0	0	0	7.17905	3.78201	0	3.72573	0	0	0	263.811	0
No	11.8349	0	0	157.048	0	80.8407	0	0	0	0	65.9186	10.1244
No	11.8349	0	0	157.048	0	80.8407	0	0	0	0	65.9186	10.1244
No	11.8349	0	0	157.048	0	80.8407	0	0	0	0	65.9186	10.1244
No	0	0	0	106.392	22.2905	7.71576	11.7111	0	0	0	429.862	0
No	0	0	0	106.392	22.2905	7.71576	11.7111	0	0	0	429.862	0
No	0	0	0	106.392	22.2905	7.71576	11.7111	0	0	0	429.862	0
Yes	0	0	0	163.592	118.282	38.3519	0	0	0	0	674.981	0
Yes	0	0	0	163.592	118.282	38.3519	0	0	0	0	674.981	0
Yes	0	0	0	163.592	118.282	38.3519	0	0	0	0	674.981	0
No	0	0	0	23.0502	16.0595	76.5959	0	0	0	0	102.502	0
No	0	0	0	23.0502	16.0595	76.5959	0	0	0	0	102.502	0
No	0	0	0	23.0502	16.0595	76.5959	0	0	0	0	102.502	0
No	0	0	0	13.9639	0	389.055	0	0	0	0	21.2573	97.0568
No	0	0	0	13.9639	0	389.055	0	0	0	0	21.2573	97.0568
No	0	0	0	13.9639	0	389.055	0	0	0	0	21.2573	97.0568
Yes	146.528	814.937	0	13844.6	8511.23	4468.64	48378.1	7.02432	964.773	4301.96	3.5697	2509.89
Yes	146.528	814.937	0	13844.6	8511.23	4468.64	48378.1	7.02432	964.773	4301.96	3.5697	2509.89
Yes	153.382	871.463	18.3222	19242.7	7813.05	4523.92	65369.7	0	1166.33	5003.76	0	2799.55
Yes	153.382	871.463	18.3222	19242.7	7813.05	4523.92	65369.7	0	1166.33	5003.76	0	2799.55
Yes	218.674	1288.61	38.9262	38122.2	11473.4	7121.54	113636	11.1909	1812.26	7846.77	35.4299	4232.28
Yes	218.674	1288.61	38.9262	38122.2	11473.4	7121.54	113636	11.1909	1812.26	7846.77	35.4299	4232.28
Yes	218.674	1288.61	38.9262	38122.2	11473.4	7121.54	113636	11.1909	1812.26	7846.77	35.4299	4232.28
No	0	0	0	0	0	10.5473	0	0	0	0	4.41989	0
No	0	0	0	0	0	10.5473	0	0	0	0	4.41989	0
No	0	0	0	0	0	10.5473	0	0	0	0	4.41989	0
No	9.68829	0	0	674.288	6.57439	381.689	3.65471	0	0	17.7116	29.6738	57.4092
No	0	3.56628	0	1002.15	23.7894	514.33	827.714	3.06372	4.29909	102.02	5.40671	74.0636
No	0	0	0	173.146	12.2695	245.214	0	0	0	0	29.3722	20.7778
No	0	0	0	173.146	12.2695	245.214	0	0	0	0	29.3722	20.7778
No	0	0	0	5440.83	19.3683	2366.04	16.5429	0	0	172.969	0.156334	152.288
No	0	0	0	5440.83	19.3683	2366.04	16.5429	0	0	172.969	0.156334	152.288
No	0	0	0	164.338	0	267.473	0	0	0	18.4408	0	1.92926
No	0	0	0	164.338	0	267.473	0	0	0	18.4408	0	1.92926
No	4.66042	0	0	196.751	6.27059	103.254	10.7009	0	0	0	3.67152	0
Yes	54.5077	565.912	0	3327.55	4340.34	1405.07	9874.71	21.719	750.979	1833.76	0	1041.64
No	11.2579	0	8.16437	647.477	4.53415	457.651	23.8978	0	0	68.223	6.82771	84.7519
No	0	8.95302	0	0	0	53.6984	0	0	0	0	6.92372	0
No	0	8.95302	0	0	0	53.6984	0	0	0	0	6.92372	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	74.3027	23.2453	42.7131	9.28304	0	0	0	16.913	18.0241
No	16.0041	0	0	372.72	975.428	340.927	0	0	0	13.7275	2.23611	18.0159
No	16.0041	0	0	372.72	975.428	340.927	0	0	0	13.7275	2.23611	18.0159
No	0	0	0	0	0	0	0	0	0	0	0	43.581
No	0	0	0	0	0	0	0	0	0	0	0	43.581
No	15.4042	0	0	341.863	0	2111.68	873.946	0	0	7.79546	0	111.09
No	15.4042	0	0	341.863	0	2111.68	873.946	0	0	7.79546	0	111.09
Yes	6.92504	0	0	0	0	28.6784	0	0	0	0	0	0
Yes	6.92504	0	0	0	0	28.6784	0	0	0	0	0	0
No	10.5316	0	0	72.2626	2.548	89.5514	0	0	0	0	22.0011	9.53434
No	10.5316	0	0	72.2626	2.548	89.5514	0	0	0	0	22.0011	9.53434
No	5.37664	0	0	23.8166	8.70864	137.501	17.3245	0	0	0	3.30714	64.1591
No	5.37664	0	0	23.8166	8.70864	137.501	17.3245	0	0	0	3.30714	64.1591
No	3.49479	0	0	95.9662	11.0945	125.035	4.54084	0	0	13.9368	6.78175	69.5199
No	0	0	0	94.8536	6.91939	119.02	0	0	0	0	35.8695	98.8491
No	0	0	0	94.8536	6.91939	119.02	0	0	0	0	35.8695	98.8491
No	0	0	0	0	0	0	0	0	0	0	51.0076	0
Yes	0	0	0	0	0	0	1.82758	0	0	0	78.4845	0
No	0	0	0	26.165	0	0	0	0	0	0	0	0
No	3.82296	0	0	10.3587	0	50.3176	21.1247	0	0	5.42525	14.6595	23.0588
No	0	0	0	6.57279	5.86761	16.0053	0	0	0	1.96873	13.2423	0.219375
No	0	0	0	31.8074	0	10.0525	2.59538	0	0	0	0	0
No	0	0	0	31.8074	0	10.0525	2.59538	0	0	0	0	0
Yes	8.03682	6.0311	0	24131.1	4186.47	3222.86	72351.3	0	0	2256.23	652.118	3290.67
Yes	8.03682	6.0311	0	24131.1	4186.47	3222.86	72351.3	0	0	2256.23	652.118	3290.67
No	0	0	0	9.15497	0	0	15.1227	0	0	0	0	0
No	0	0	0	9.15497	0	0	15.1227	0	0	0	0	0
Yes	61.9746	533.057	6.62543	14494.7	5122.29	3853.98	35605.9	9.93133	842.922	3367.35	0	1588.61
No	0	26.9449	0	596.762	160.142	359.016	47.3758	0	41.3264	0	0	0
No	0	26.9449	0	596.762	160.142	359.016	47.3758	0	41.3264	0	0	0
No	0	0	0	0	0	0	0	0	0	13.0467	20.928	0
No	0	0	0	0	0	0	0	0	0	13.0467	20.928	0
No	0	0	0	0	0	0	0	0	0	13.0467	20.928	0
No	0	0	0	25.6272	9.05796	119.035	9.1731	0	0	0	146.042	0
No	0	0	0	25.6272	9.05796	119.035	9.1731	0	0	0	146.042	0
No	0	0	0	24.9869	348.432	15.6324	12.4837	0	0	0	2098.21	3.39842
Yes	0	9.75844	0	3.55943	450.731	0	61.7022	0	32.1133	0	0	0
Yes	0	9.75844	0	3.55943	450.731	0	61.7022	0	32.1133	0	0	0
Yes	0	2.41356	0	256.004	716.642	82.3363	0	0	0	28.4266	0	4.67736
No	0	0	0	2.87907	0	0	0	0	0	0	0	0
No	0	0	0	2.87907	0	0	0	0	0	0	0	0
No	0	0	0	15.0162	5.29034	7.125	2.36763	0	0	0	0.685075	0
No	0	0	0	0	0	15.6226	0	0	0	0	0	0
No	0	0	0	5.75821	0	0	0	0	0	0	0	0
No	0	0	0	154.068	6.54104	269.545	87.0884	0	0	3.22564	5.54668	37.1664
No	0	0	0	154.068	6.54104	269.545	87.0884	0	0	3.22564	5.54668	37.1664
No	0	0	0	19.5725	4.84221	15.1877	27.0577	0	0	0	16.3257	0
No	0	0	0	3.73114	4.84221	1.44823	23.3253	0	0	0	0	0
Yes	185.024	1318.21	7.37346	17947.9	11679.5	6305.24	77318.1	0	1365.28	7059.85	0	2687.2
Yes	185.024	1318.21	7.37346	17947.9	11679.5	6305.24	77318.1	0	1365.28	7059.85	0	2687.2
Yes	95.5553	650.266	3.40154	5941.64	5444.5	2840.45	24419.9	2.66245	641.571	2550.92	0	1211.52
Yes	98.1452	646.673	0	5415.69	5384.42	2617.95	21797.5	6.94123	589.649	2193.73	0	1144.47
No	5.69698	0	0	525.222	47.8142	790.141	30.5897	0	0	77.1681	21.4997	34.7474
No	5.69698	0	0	525.222	47.8142	790.141	30.5897	0	0	77.1681	21.4997	34.7474
No	2.68661	0	0	66.3632	0	27.584	0	0	0	0	0	5.75128
No	4.33214	0	0	126.698	0	237.747	9.22162	0	0	19.4521	0	13.2219
No	0	0	0	96.2892	7.75909	128.375	14.9317	0	0	0	4.9783	102.318
No	0	0	0	96.2892	7.75909	128.375	14.9317	0	0	0	4.9783	102.318
No	0	0	0	1.15152	2.97049	10.178	0	0	0	0.157636	0	0
No	0	0	0	0	0.455331	0	0	0	0	0	0	0
Yes	2.64696	9.9041	0	0	1637.37	0	0	0	3.52736	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
Yes	0	0	0	6.11877	0	0	0.899945	0	0	0	101.129	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	2305.02	0	405.018	3.10736	0	0	85.4123	0	97.0188
No	0	0	0	0	0	0	0	0	0	0	15.8879	6.85928
No	0	0	0	0	0	0	0	0	0	0	15.8879	6.85928
No	0	0	0	0	0	0	0	0	0	0	5.7301	0
No	0	0	0	0	0	0	0	0	0	0	7.61674	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	48.0875	0	0	0	0	6.24407	0
No	0	0	0	0	0	48.0875	0	0	0	0	6.24407	0
