"H2AFZ_AvgSignal","H2AFZ_MaxSignal","H2AFZ_MaxScaledSignal","H2AK5ac_AvgSignal","H2AK5ac_MaxSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_AvgSignal","H2AK9ac_MaxSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_AvgSignal","H2BK120ac_MaxSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_AvgSignal","H2BK12ac_MaxSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_AvgSignal","H2BK15ac_MaxSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_AvgSignal","H2BK20ac_MaxSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_AvgSignal","H2BK5ac_MaxSignal","H2BK5ac_MaxScaledSignal","H3F3A_AvgSignal","H3F3A_MaxSignal","H3F3A_MaxScaledSignal","H3K14ac_AvgSignal","H3K14ac_MaxSignal","H3K14ac_MaxScaledSignal","H3K18ac_AvgSignal","H3K18ac_MaxSignal","H3K18ac_MaxScaledSignal","H3K23ac_AvgSignal","H3K23ac_MaxSignal","H3K23ac_MaxScaledSignal","H3K23me2_AvgSignal","H3K23me2_MaxSignal","H3K23me2_MaxScaledSignal","H3K27ac_AvgSignal","H3K27ac_MaxSignal","H3K27ac_MaxScaledSignal","H3K27me3_AvgSignal","H3K27me3_MaxSignal","H3K27me3_MaxScaledSignal","H3K36me3_AvgSignal","H3K36me3_MaxSignal","H3K36me3_MaxScaledSignal","H3K4ac_AvgSignal","H3K4ac_MaxSignal","H3K4ac_MaxScaledSignal","H3K4me1_AvgSignal","H3K4me1_MaxSignal","H3K4me1_MaxScaledSignal","H3K4me2_AvgSignal","H3K4me2_MaxSignal","H3K4me2_MaxScaledSignal","H3K4me3_AvgSignal","H3K4me3_MaxSignal","H3K4me3_MaxScaledSignal","H3K56ac_AvgSignal","H3K56ac_MaxSignal","H3K56ac_MaxScaledSignal","H3K79me1_AvgSignal","H3K79me1_MaxSignal","H3K79me1_MaxScaledSignal","H3K79me2_AvgSignal","H3K79me2_MaxSignal","H3K79me2_MaxScaledSignal","H3K9ac_AvgSignal","H3K9ac_MaxSignal","H3K9ac_MaxScaledSignal","H3K9me1_AvgSignal","H3K9me1_MaxSignal","H3K9me1_MaxScaledSignal","H3K9me2_AvgSignal","H3K9me2_MaxSignal","H3K9me2_MaxScaledSignal","H3K9me3_AvgSignal","H3K9me3_MaxSignal","H3K9me3_MaxScaledSignal","H3T11ph_AvgSignal","H3T11ph_MaxSignal","H3T11ph_MaxScaledSignal","H4K12ac_AvgSignal","H4K12ac_MaxSignal","H4K12ac_MaxScaledSignal","H4K20me1_AvgSignal","H4K20me1_MaxSignal","H4K20me1_MaxScaledSignal","H4K5ac_AvgSignal","H4K5ac_MaxSignal","H4K5ac_MaxScaledSignal","H4K8ac_AvgSignal","H4K8ac_MaxSignal","H4K8ac_MaxScaledSignal","H4K91ac_AvgSignal","H4K91ac_MaxSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome","Dataset"
478.668,19.22269,19.2227,0,0,0,0,0,0,1.9057,5.42993,1.9057,0,0,0,0,0,0,0,0,0,1.10008,4.81718,1.10008,0,0,0,7.31504,5.25581,5.25581,12.2859,9.55253,4.66145,0,0,0,0,0,0,14586.2,175.28947,175.289,118.802,20.64658,20.6466,188.316,37.82782,37.8278,6.47681,4.82889,2.98323,1327.71,15.9451,15.035,1292.33,32.35029,32.3503,32694.9,230.88875,230.889,9.18338,6.80742,5.76012,1.43512,2.68811,0.756631,5.08132,4.13841,3.54152,1942.62,38.46881,38.4688,0,0,0,0,0,0,20.0886,9.92413,7.0697,0,0,0,1.15917,3.3487,1.15917,0,0,0,4.53303,4.53303,4.53303,39.5659,9.82098,9.82098,7.91925,6.02351,3.51955,32.7528,6.65858,"lncrna-exon1"
1.22394,2.734,1.22394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8941,26.12594,26.1259,919.721,24.45246,24.4525,3.48879,6.25074,3.48879,0,0,0,25.2512,5.29346,5.29346,0,0,0,94.1492,25.68943,25.6894,0,0,0,0,0,0,0,0,0,26.0665,12.13173,12.1317,0,0,0,0.736915,2.34721,0.736915,6.52783,6.78389,3.47083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901609,81.1974,"lncrna-exon2"
1.54731,3.29155,1.54731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58215,5.00303,1.58215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.567,110.59602,110.596,103.569,11.30389,11.3039,0,0,0,0,0,0,230.592,20.2398,15.7817,12.8805,11.54182,11.5418,22.8675,12.74719,12.7472,0,0,0,0,0,0,4.32829,4.82295,4.32829,11.792,11.79202,11.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75968,68.6466,"lncrna-exon2"
376.872,25.14973,25.1497,0,0,0,2.15055,2.54156,2.15055,0,0,0,0,0,0,0,0,0,0,0,0,9.27718,6.7746,6.48277,6.87716,5.20069,2.81637,4.26022,4.56954,4.26022,8.10454,5.53911,3.63025,0,0,0,4.70119,6.11155,4.70119,14692.7,254.62558,254.626,536.19,73.79951,73.7995,238.137,40.89043,40.8904,4.85517,5.55609,4.85517,973.495,25.9717,25.9717,1116.96,35.71315,35.7131,30745.6,345.0708,345.071,9.86263,7.25176,6.62699,1.7947,2.07572,1.7947,13.8862,10.76462,3.72007,1651.28,50.81006,50.8101,0,0,0,0,0,0,17.4084,7.94699,3.73726,0,0,0,1.92532,3.24212,1.92532,0,0,0,3.40315,3.71149,3.40315,30.9775,16.82145,16.8214,3.32328,3.95629,3.32328,33.0578,1.1297,"lncrna-exon1"
6.97173,5.6456,3.09303,2.58098,4.6399,1.63373,0,0,0,0.624646,3.07709,0.624646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101.58,162.14186,112.02,51.3896,16.89395,16.894,303.216,16.14692,13.5518,1.16958,2.60675,1.16958,973.742,28.87995,28.1201,12.898,3.96652,3.0561,457.35,23.12018,21.8588,0,0,0,0,0,0,0,0,0,25.2468,41.55454,22.0474,0,0,0,0,0,0,495.899,16.2542,14.7028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490061,84.2547,"lncrna-exon2"
285.733,25.30309,21.2988,2.25775,4.42634,1.46477,2.07625,6.35358,2.07625,5.66005,8.4598,2.6158,0.737471,3.6571,0.737471,0,0,0,0,0,0,12.7004,8.58201,3.20881,21.2935,5.5075,5.44421,9.08063,7.92949,2.68143,19.2469,10.41083,4.10189,4.96563,5.32828,3.36117,1.0141,4.51906,1.0141,10501.1,137.14755,128.076,24.9856,12.58538,5.71391,229.751,23.27215,23.2721,15.2034,9.81814,3.15764,737.097,32.78711,19.6189,1330.91,36.79933,36.7993,21614.7,140.60445,130.017,16.6975,19.71845,8.58476,3.95864,9.84064,3.95864,20.092,10.71371,6.77069,2027.59,103.87675,92.0604,0,0,0,0,0,0,1.53217,5.25393,1.53217,0,0,0,3.33658,8.74382,3.33658,0.0586321,3.54358,0.0586321,2.5661,8.05655,2.5661,21.4443,12.68247,5.35103,17.1451,17.51948,6.63095,23.4814,13.6798,"lncrna-exon2"
20.8306,12.43273,6.96233,1.23829,4.84263,1.05968,0,0,0,0.670359,3.57901,0.42106,0.443708,2.58323,0.443708,1.45374,4.51453,0.924151,0.791765,4.15432,0.791765,11.2378,10.85729,10.8573,12.1883,4.76257,4.76257,1.62498,6.51527,1.62498,4.92149,5.10995,1.74552,1.08965,5.26252,1.08965,0.874608,4.4251,0.874608,10970.5,109.89047,109.89,140.177,13.55637,6.69632,203.159,53.11549,53.1155,0.857698,5.86599,0.802625,1990.31,22.61986,22.6199,1111.06,72.09805,51.6263,27203.4,350.04877,350.049,11.3429,13.53084,7.73646,4.58913,5.77947,3.86205,171.617,14.96345,14.7522,1475.3,75.84602,61.6669,0.298355,2.69789,0.298355,0,0,0,0,0,0,0,0,0,0,0,0,69.0836,8.73718,8.73718,0.355845,3.2877,0.355845,1.5604,5.18101,1.5604,0,0,0,3.13952,32.0686,"lncrna-exon1"
3.1428,3.1428,3.1428,2.05909,2.25928,2.05909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.179,20.95266,20.9527,0,0,0,0,0,0,19.3398,5.45996,5.45996,2.03735,3.27006,1.76611,2.57461,6.0414,2.57461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.011,6.89782,5.25393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26851,68.5733,"lncrna-exon1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.6455,18.48241,18.4824,15.7531,10.40805,7.2135,0,0,0,0,0,0,2.72437,4.04649,2.72437,31.9142,31.91425,31.9142,197.819,72.63875,72.6388,0,0,0,0,0,0,15.181,15.18098,15.181,35.8902,29.93055,29.9306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00756,60.5808,"lncrna-exon2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.8671,8.3156,8.3156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98392,0,"lncrna-exon2"
