"H2AFZ_AvgSignal","H2AFZ_MaxSignal","H2AFZ_MaxScaledSignal","H2AK5ac_AvgSignal","H2AK5ac_MaxSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_AvgSignal","H2AK9ac_MaxSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_AvgSignal","H2BK120ac_MaxSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_AvgSignal","H2BK12ac_MaxSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_AvgSignal","H2BK15ac_MaxSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_AvgSignal","H2BK20ac_MaxSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_AvgSignal","H2BK5ac_MaxSignal","H2BK5ac_MaxScaledSignal","H3F3A_AvgSignal","H3F3A_MaxSignal","H3F3A_MaxScaledSignal","H3K14ac_AvgSignal","H3K14ac_MaxSignal","H3K14ac_MaxScaledSignal","H3K18ac_AvgSignal","H3K18ac_MaxSignal","H3K18ac_MaxScaledSignal","H3K23ac_AvgSignal","H3K23ac_MaxSignal","H3K23ac_MaxScaledSignal","H3K23me2_AvgSignal","H3K23me2_MaxSignal","H3K23me2_MaxScaledSignal","H3K27ac_AvgSignal","H3K27ac_MaxSignal","H3K27ac_MaxScaledSignal","H3K27me3_AvgSignal","H3K27me3_MaxSignal","H3K27me3_MaxScaledSignal","H3K36me3_AvgSignal","H3K36me3_MaxSignal","H3K36me3_MaxScaledSignal","H3K4ac_AvgSignal","H3K4ac_MaxSignal","H3K4ac_MaxScaledSignal","H3K4me1_AvgSignal","H3K4me1_MaxSignal","H3K4me1_MaxScaledSignal","H3K4me2_AvgSignal","H3K4me2_MaxSignal","H3K4me2_MaxScaledSignal","H3K4me3_AvgSignal","H3K4me3_MaxSignal","H3K4me3_MaxScaledSignal","H3K56ac_AvgSignal","H3K56ac_MaxSignal","H3K56ac_MaxScaledSignal","H3K79me1_AvgSignal","H3K79me1_MaxSignal","H3K79me1_MaxScaledSignal","H3K79me2_AvgSignal","H3K79me2_MaxSignal","H3K79me2_MaxScaledSignal","H3K9ac_AvgSignal","H3K9ac_MaxSignal","H3K9ac_MaxScaledSignal","H3K9me1_AvgSignal","H3K9me1_MaxSignal","H3K9me1_MaxScaledSignal","H3K9me2_AvgSignal","H3K9me2_MaxSignal","H3K9me2_MaxScaledSignal","H3K9me3_AvgSignal","H3K9me3_MaxSignal","H3K9me3_MaxScaledSignal","H3T11ph_AvgSignal","H3T11ph_MaxSignal","H3T11ph_MaxScaledSignal","H4K12ac_AvgSignal","H4K12ac_MaxSignal","H4K12ac_MaxScaledSignal","H4K20me1_AvgSignal","H4K20me1_MaxSignal","H4K20me1_MaxScaledSignal","H4K5ac_AvgSignal","H4K5ac_MaxSignal","H4K5ac_MaxScaledSignal","H4K8ac_AvgSignal","H4K8ac_MaxSignal","H4K8ac_MaxScaledSignal","H4K91ac_AvgSignal","H4K91ac_MaxSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome","Dataset"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5464,4.84315,2.5464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45152,8.30379,4.45152,0,0,0,3.51515,3.51515,3.51515,0,0,0,0,0,0,4.10657,4.10657,4.10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06186,51.807,"short-ncrna"
122.692,14.55299,11.5312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65079,6.41089,5.76654,0,0,0,0,0,0,0,0,0,0,0,0,5780.45,46.25122,46.2512,0,0,0,0,0,0,0,0,0,175.475,15.66615,15.6662,767.266,36.79745,36.7974,8292.72,62.05251,62.0525,0,0,0,0,0,0,0,0,0,737.134,22.6091,22.6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64983,4.22977,0.928486,0,0,0,0,0,0,0,0,0,26.068,0.434479,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.956,27.24656,27.2466,0,0,0,1051.53,15.03279,15.0328,0,0,0,7.8295,7.8295,7.8295,0,0,0,3.87305,5.74711,3.87305,0,0,0,2.34939,3.56281,2.34939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3017,4.29925,3.0588,0,0,0,0,0,0,0,0,0,2.74771,87.015,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07251,3.07251,3.07251,0,0,0,0,0,0,62.683,13.86511,13.8651,48.2551,16.08704,16.087,224.99,23.81916,23.8192,0,0,0,11.8596,3.71429,2.50026,0,0,0,17.7766,5.54015,5.54015,0,0,0,0,0,0,3.37952,3.37952,3.37952,1.29971,2.32865,1.29971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5328,11.53282,11.5328,0,0,0,0,0,0,0,0,0,0.107616,84.7049,"short-ncrna"
32.5202,7.88555,7.88555,32.7707,20.69624,20.6962,9.95031,9.95031,9.95031,6.52382,5.80105,2.79768,2.33365,3.79218,2.33365,0,0,0,0,0,0,41.3901,12.94184,12.9418,51.9568,8.94753,8.94753,39.2176,16.53773,16.5377,44.753,9.91538,9.91538,15.4282,12.57054,12.5705,3.70756,3.70756,3.70756,18243.3,152.05865,152.059,493.305,61.63611,61.6361,3841.15,144.11049,144.11,63.139,17.7333,17.7333,955.437,33.65532,33.6553,1387.7,52.07732,52.0773,43977,420.66345,420.663,58.8828,23.33695,23.337,7.80917,8.53291,4.63668,799.677,39.21117,39.2112,3942.76,90.02616,90.0262,0,0,0,0,0,0,340.024,38.63302,36.1565,0,0,0,1.2381,6.03576,1.2381,297.002,17.90252,17.9025,17.6659,9.04571,9.04571,26.8878,9.81327,9.81327,45.6337,20.57301,20.573,18.4664,0.575188,"short-ncrna"
21.31,14.79329,14.7933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17979,5.17979,5.17979,1828.45,33.43989,33.4399,0,0,0,0,0,0,23.5318,4.35904,4.35776,275.082,15.90564,15.9056,957.806,49.66173,49.6617,0,0,0,0,0,0,0,0,0,28.4054,20.37929,20.3793,0,0,0,0,0,0,67.3886,9.90148,9.90148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44733,6.51417,"short-ncrna"
18.2303,5.07209,5.07209,0,0,0,0,0,0,0,0,0,1.07371,2.8334,1.07371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907.671,40.91938,40.9194,97.4613,9.87042,9.87042,6.03707,6.03707,6.03707,0,0,0,453.309,11.05347,11.0535,137.783,10.83365,10.8337,304.454,60.73307,60.7331,0,0,0,0,0,0,0,0,0,22.3057,21.46359,9.14881,0,0,0,0,0,0,26.1602,7.5101,4.98038,0,0,0,0,0,0,0,0,0,0,0,0,0.542132,3.21891,0.542132,0,0,0,23.0227,0,"short-ncrna"
14.3355,7.02968,5.18905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.944,16.05905,16.059,37.5482,15.8164,15.8164,26.449,5.96674,5.96674,0,0,0,155.158,11.07983,11.0798,15.7052,15.70518,15.7052,69.3511,13.01606,13.0161,0,0,0,0,0,0,0,0,0,5.53551,5.53551,5.53551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0773,64.5338,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.315,13.9245,13.9245,113.14,13.79379,13.7938,22.0754,6.41174,6.41174,0,0,0,180.766,17.6446,17.6446,12.4007,11.93238,7.15045,0,0,0,0,0,0,0,0,0,5.82367,3.19233,3.19233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13715,6.45776,6.45776,10.2969,6.40927,6.40927,7.06924,5.8966,5.25913,0,0,0,0,0,0,0,0,0,1.63537,6.48309,1.63537,0.315944,3.50698,0.315944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.485,11.08168,9.87943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4409,4.23222,4.23222,0,0,0,0,0,0,0,0,0,0,0,0,11549.1,126.06962,126.07,80.8906,33.01064,33.0106,1778.01,120.05518,120.055,0,0,0,283.682,22.54379,22.5438,1025.3,37.85452,37.8545,36719,299.11182,299.112,0,0,0,0,0,0,670.342,32.0569,32.0569,3333.82,85.16267,85.1627,0,0,0,0,0,0,44.4331,12.25639,12.2564,0,0,0,0,0,0,221.14,13.29496,13.295,0,0,0,0,0,0,0,0,0,0.364087,13.015,"short-ncrna"
87.8147,13.0789,13.0789,0,0,0,3.23889,3.65018,3.23889,0,0,0,1.60133,5.68473,1.60133,0,0,0,0,0,0,9.37168,9.37168,9.37168,32.0852,8.12278,8.12278,0,0,0,0,0,0,0,0,0,0,0,0,8587.17,132.87131,132.871,0,0,0,0.564255,2.10853,0.564255,0,0,0,861.099,24.93344,24.9334,1091.2,34.48225,34.4823,8776.21,73.60282,73.6028,0,0,0,0,0,0,4.37064,4.37064,4.37064,1196.46,40.41158,40.4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2219,4.65983,4.65983,0,0,0,0,0,0,0,0,0,16.6906,0.559211,"short-ncrna"
61.9289,20.36365,15.4939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45948,4.45948,4.45948,0,0,0,0,0,0,0,0,0,0,0,0,253.924,29.24411,29.2441,5.42218,4.53723,2.69538,3.41648,3.41648,3.41648,1.51605,3.82803,1.51605,435.569,26.51246,26.5125,146.268,16.05395,16.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07531,4.17716,1.07531,0,0,0,0,0,0,9.32182,7.22362,4.54983,3.4446,4.76582,3.4446,0.867981,0,"short-ncrna"
30.0372,13.62577,13.6258,0,0,0,0,0,0,0,0,0,5.11693,5.11693,5.11693,0,0,0,0,0,0,6.91719,6.91719,6.91719,12.086,7.00587,7.00587,0,0,0,11.0521,9.94549,9.94549,0,0,0,10.8843,6.7209,5.92079,1542.55,155.34325,155.343,4695.63,115.79948,115.799,96.8301,13.94681,13.9468,0,0,0,1355.71,21.46743,21.4674,542.369,37.01141,37.0114,5445.71,115.92886,115.929,14.767,7.49951,7.49951,0,0,0,55.8722,20.08014,20.0801,311.007,83.01255,83.0126,0,0,0,0,0,0,21.8871,8.96898,8.96898,0,0,0,0,0,0,96.8431,28.15225,28.1522,3.6412,3.6412,3.6412,0,0,0,8.35132,5.20233,4.27334,5.30226,5.11184,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269243,3.02898,0.269243,0,0,0,0,0,0,0,0,0,0,0,0,75.5028,38.22391,15.6874,5.30024,5.30024,5.30024,3303.52,48.27857,48.2786,0,0,0,3.65754,3.65754,3.65754,0,0,0,0,0,0,0,0,0,7.77742,4.11655,4.11655,20.672,4.09221,4.09221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.1206,6.02485,6.02485,0,0,0,0,0,0,0,0,0,0.699878,83.1203,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3814,5.80698,5.80698,0,0,0,98.4301,7.97617,7.97617,0,0,0,57.8235,7.35281,7.35281,3.6562,3.6562,3.6562,0,0,0,0,0,0,3.69403,3.69403,3.69403,3.1704,3.1704,3.1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73231,4.73231,4.73231,0,0,0,0,0,0,0,0,0,3.01011,58.3797,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28517,4.00397,4.00397,12.0217,4.75574,4.75574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37213,3.83251,1.37213,0,0,0,0,0,0,0,0,0,835.126,34.51647,34.5165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0414,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12429,6.64773,6.12429,263.076,9.3135,9.3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54656,5.41807,5.41807,0,0,0,0,0,0,2.61044,2.61044,2.61044,0,0,0,0,0,0,0,0,0,0.0499708,73.3421,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23061,2.38444,2.23061,19.9535,10.45492,10.4549,3648.85,49.97329,49.9733,0,0,0,0,0,0,0,0,0,82.6653,10.53759,10.5376,0,0,0,0,0,0,8.76879,5.33862,5.33862,0,0,0,0,0,0,0,0,0,3738.38,63.73372,63.7337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13903,80.3017,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99363,5.32622,4.96634,0,0,0,1993.14,36.18012,36.1801,0,0,0,1.23808,2.34917,1.23808,0,0,0,3.74583,3.74583,3.74583,0,0,0,0,0,0,79.9104,27.7873,27.7873,0,0,0,0,0,0,0,0,0,651.501,27.17358,27.1736,0,0,0,0,0,0,20.07,13.33651,13.3365,0,0,0,0,0,0,0,0,0,0,0,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.471,69.40625,69.4062,0,0,0,20.8417,5.9173,5.9173,0,0,0,320.797,21.72407,21.7241,57.3636,7.12806,7.12806,0.829565,7.65043,0.829565,0,0,0,0,0,0,87.1921,21.57895,21.5789,0,0,0,0,0,0,0,0,0,0.368391,2.18403,0.368391,0,0,0,0,0,0,127.935,14.95776,14.9578,0,0,0,0,0,0,0,0,0,4.17387,0,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3752,4.74108,4.74108,0,0,0,0,0,0,0,0,0,0,0,0,129.617,8.77904,8.77904,4.96279,4.96279,4.96279,1340.22,19.23395,19.234,0,0,0,254.984,8.47885,8.47885,26.4835,15.92755,15.9276,59.4515,25.11548,25.1155,0,0,0,0,0,0,502.953,33.98271,33.9827,5.65392,3.84166,3.84166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.3164,9.69591,9.69591,0,0,0,0,0,0,0,0,0,0,0,"short-ncrna"
