"H2AFZ_AvgSignal","H2AFZ_MaxSignal","H2AFZ_MaxScaledSignal","H2AK5ac_AvgSignal","H2AK5ac_MaxSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_AvgSignal","H2AK9ac_MaxSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_AvgSignal","H2BK120ac_MaxSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_AvgSignal","H2BK12ac_MaxSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_AvgSignal","H2BK15ac_MaxSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_AvgSignal","H2BK20ac_MaxSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_AvgSignal","H2BK5ac_MaxSignal","H2BK5ac_MaxScaledSignal","H3F3A_AvgSignal","H3F3A_MaxSignal","H3F3A_MaxScaledSignal","H3K14ac_AvgSignal","H3K14ac_MaxSignal","H3K14ac_MaxScaledSignal","H3K18ac_AvgSignal","H3K18ac_MaxSignal","H3K18ac_MaxScaledSignal","H3K23ac_AvgSignal","H3K23ac_MaxSignal","H3K23ac_MaxScaledSignal","H3K23me2_AvgSignal","H3K23me2_MaxSignal","H3K23me2_MaxScaledSignal","H3K27ac_AvgSignal","H3K27ac_MaxSignal","H3K27ac_MaxScaledSignal","H3K27me3_AvgSignal","H3K27me3_MaxSignal","H3K27me3_MaxScaledSignal","H3K36me3_AvgSignal","H3K36me3_MaxSignal","H3K36me3_MaxScaledSignal","H3K4ac_AvgSignal","H3K4ac_MaxSignal","H3K4ac_MaxScaledSignal","H3K4me1_AvgSignal","H3K4me1_MaxSignal","H3K4me1_MaxScaledSignal","H3K4me2_AvgSignal","H3K4me2_MaxSignal","H3K4me2_MaxScaledSignal","H3K4me3_AvgSignal","H3K4me3_MaxSignal","H3K4me3_MaxScaledSignal","H3K56ac_AvgSignal","H3K56ac_MaxSignal","H3K56ac_MaxScaledSignal","H3K79me1_AvgSignal","H3K79me1_MaxSignal","H3K79me1_MaxScaledSignal","H3K79me2_AvgSignal","H3K79me2_MaxSignal","H3K79me2_MaxScaledSignal","H3K9ac_AvgSignal","H3K9ac_MaxSignal","H3K9ac_MaxScaledSignal","H3K9me1_AvgSignal","H3K9me1_MaxSignal","H3K9me1_MaxScaledSignal","H3K9me2_AvgSignal","H3K9me2_MaxSignal","H3K9me2_MaxScaledSignal","H3K9me3_AvgSignal","H3K9me3_MaxSignal","H3K9me3_MaxScaledSignal","H3T11ph_AvgSignal","H3T11ph_MaxSignal","H3T11ph_MaxScaledSignal","H4K12ac_AvgSignal","H4K12ac_MaxSignal","H4K12ac_MaxScaledSignal","H4K20me1_AvgSignal","H4K20me1_MaxSignal","H4K20me1_MaxScaledSignal","H4K5ac_AvgSignal","H4K5ac_MaxSignal","H4K5ac_MaxScaledSignal","H4K8ac_AvgSignal","H4K8ac_MaxSignal","H4K8ac_MaxScaledSignal","H4K91ac_AvgSignal","H4K91ac_MaxSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome","Dataset"
19.8267,10.25553,10.2555,8.25922,5.12311,5.12311,0,0,0,6.4824,6.4824,6.4824,10.713,6.8442,6.15019,0,0,0,3.98778,3.98778,3.98778,6.86394,3.74183,3.74183,2.66436,3.70693,2.66436,3.00534,3.00534,3.00534,5.36233,4.84356,4.84356,0,0,0,0,0,0,359.894,24.60049,24.6005,335.605,16.54452,16.5445,34.0654,6.91049,6.91049,8.13838,5.69813,5.69813,301.362,13.2065,13.2065,17.2438,6.40644,6.40644,12.493,6.25919,5.16425,0,0,0,0,0,0,0,0,0,30.1717,9.40331,9.40331,0.295538,4.05309,0.295538,0,0,0,1.82675,1.82675,1.82675,0,0,0,0,0,0,0,0,0,0,0,0,11.6362,5.93511,5.93511,2.86159,5.18326,2.86159,23.7412,68.5338,"lncrna-exon1-negative-control"
1.52454,3.86217,1.52454,0,0,0,0,0,0,0,0,0,1.0862,4.17981,1.0862,1.36882,3.90723,1.36882,0,0,0,1.90823,3.76689,1.90823,0.250084,3.23513,0.250084,0,0,0,0,0,0,0,0,0,0,0,0,165.534,52.68908,52.6891,367.443,24.06948,22.5763,28.6807,12.38111,6.74037,0,0,0,53.0312,8.28947,7.47695,0.837728,3.58557,0.442299,26.5482,12.08295,6.0663,0,0,0,0,0,0,0,0,0,0.784456,2.8906,0.784456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0908605,3.4527,0.0908605,0.598762,72.6767,"lncrna-exon1-negative-control"
2.25218,3.69447,2.25218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.486,25.21086,25.2109,40.4615,10.53377,6.70956,0,0,0,0,0,0,143.122,9.40264,9.40264,13.031,3.74277,2.92228,0,0,0,0,0,0,0,0,0,0,0,0,6.00307,6.3716,4.15206,0,0,0,0,0,0,30.2607,7.12496,6.05515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2375,0,"lncrna-exon2-negative-control"
0.929037,4.07694,0.51649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2698,21.62629,21.6263,4.48419,4.49892,2.55496,3.16037,13.30646,2.65337,0,0,0,0,0,0,0,0,0,115.198,44.15816,44.1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7062,6.03457,1.7062,0,0,0,0.840959,86.1203,"lncrna-exon1-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0964,4.28937,3.59754,0,0,0,0,0,0,0,0,0,9.88368,9.88368,9.88368,382.37,30.82115,30.8211,89.5394,7.01162,7.01162,195.847,16.04819,16.0482,0,0,0,857.053,55.0834,55.0834,99.1349,25.24418,20.0058,437.511,74.42892,74.4289,0,0,0,0,0,0,7.72384,7.72384,7.72384,0,0,0,0,0,0,0,0,0,81.0924,11.426,8.44498,0,0,0,0,0,0,40.2176,24.73817,24.7382,0,0,0,0,0,0,0,0,0,1.58323,56.1805,"lncrna-exon2-negative-control"
10.2477,5.67061,5.67061,2.28562,3.13031,2.28562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00359,6.00359,6.00359,0,0,0,0,0,0,0,0,0,0,0,0,298.49,58.72914,58.7291,9.02763,7.81681,6.98751,9.80028,6.5275,6.5275,0,0,0,725.051,13.99127,13.9913,215.02,17.98089,17.9809,15.7969,9.467,9.467,0,0,0,0,0,0,0,0,0,11.8941,9.73021,4.52816,0,0,0,0,0,0,8.15964,8.15964,8.15964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40567,0,"lncrna-exon2-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.532,16.4563,16.4563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5218,6.08467,4.94617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155389,35.0226,"lncrna-exon2-negative-control"
2.58093,2.58093,2.58093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.554,42.8937,42.8937,99.9123,23.95636,22.8869,3.69346,3.93566,3.5529,0,0,0,0,0,0,0,0,0,173.508,42.71473,42.7147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62032,0,"lncrna-exon2-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191737,26.7021,"lncrna-exon1-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56301,11.62799,4.79818,0,0,0,0,0,0,0,0,0,6.50255,6.50255,6.50255,6.94311,6.94311,6.94311,17.1602,17.02209,11.5356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322721,0,"lncrna-exon1-negative-control"
